0.5873865265169613
class4,p 
nonevent,0.4949319896867225
nonevent,0.27254638840480316
nonevent,0.09317970704146772
Ib,0.995276572401553
II,0.7051631610901878
Ib,0.8219908755777021
Ia,0.9733900357733712
II,0.7421637137175544
nonevent,0.3373424417140626
nonevent,0.015400036028010211
Ib,0.8868712289381023
II,0.9820540513061058
nonevent,0.03357695884024681
nonevent,0.06306974102185015
nonevent,0.12233872049053218
Ib,0.9897179175775322
nonevent,0.1452431180617354
nonevent,0.11577107563820221
nonevent,0.40240282398868477
II,0.8003372651767031
Ib,0.8402342312865748
nonevent,0.12091595442549552
II,0.7780628428046148
nonevent,0.02426049214613868
nonevent,0.1702092153923479
nonevent,0.029142905361894456
II,0.948844458395908
nonevent,0.22497059585224088
II,0.9472248331021119
nonevent,0.038438878432042856
II,0.9790025610217226
nonevent,0.013665590948831241
nonevent,0.14437021504565772
II,0.6995344667767058
nonevent,0.1232996806622374
nonevent,0.07073756789739294
nonevent,0.5227898736100167
nonevent,0.017773435895196976
nonevent,0.10400655723672392
II,0.9795454941720151
nonevent,0.47324008428861897
II,0.749808850937079
II,0.8851581210573924
nonevent,0.12614859987305038
Ib,0.8082402689802699
II,0.9349458969931628
II,0.9942864567532317
II,0.921934378855152
II,0.6494678028598425
Ib,0.9937674146920784
nonevent,0.15515076627784852
nonevent,0.051948434290787326
nonevent,0.03197887087837914
II,0.9860000633159942
II,0.8421639039444966
II,0.971074350144173
Ib,0.9421279225705667
nonevent,0.5215694348962702
II,0.7588332671356295
nonevent,0.5426050718184593
nonevent,0.01683470343803084
nonevent,0.06827845507449404
nonevent,0.3005004575047271
Ia,0.9993995710506892
Ia,0.8851727075291941
nonevent,0.06895925180922069
nonevent,0.1482996668447365
nonevent,0.08184522833544272
II,0.9863652425015108
II,0.9799334030399967
nonevent,0.09384566990112919
II,0.8948927402681529
Ib,0.8963476776843939
II,0.9735220638535926
nonevent,0.2383959380200965
II,0.7978824794245776
II,0.9952270360625507
II,0.9700279195900677
nonevent,0.026025780018030797
nonevent,0.62378379993323
II,0.8612625472829657
Ib,0.9823141297629877
II,0.9403333874295677
Ib,0.9917032755307438
nonevent,0.33679343242254167
Ia,0.9713843567748577
nonevent,0.031163131994172977
nonevent,0.027158385157798004
nonevent,0.3292214197329101
nonevent,0.009930070969793925
nonevent,0.029819385512099505
nonevent,0.2828789420547244
II,0.6312682157050671
nonevent,0.23396177463263645
nonevent,0.0427820604678284
II,0.8568439953839591
Ia,0.8909419359752635
nonevent,0.13272989632434418
nonevent,0.04755568916470154
II,0.7580832227186279
Ib,0.9882826453898742
II,0.837340244547371
nonevent,0.23473074619806134
nonevent,0.08310680600972575
nonevent,0.1129721151544989
nonevent,0.22980552312398594
II,0.9919213834372256
II,0.981114516955738
nonevent,0.1811768964441942
nonevent,0.07631627365323379
II,0.7897278044508802
II,0.9575009534398553
nonevent,0.03278727212981958
nonevent,0.13253002305063322
II,0.79327785638376
nonevent,0.11611836417206955
II,0.8931719853046729
II,0.9523565341066609
nonevent,0.5398198681417559
nonevent,0.01610204577493457
II,0.9915109830372016
Ib,0.9761988046081627
nonevent,0.16909620798650526
II,0.6661853252219596
nonevent,0.20438921618485373
Ib,0.9000208126657646
Ib,0.9947808075917669
Ib,0.9151592861933325
nonevent,0.20538885301541643
nonevent,0.028281844470833373
II,0.9847837723007972
nonevent,0.3008355277030106
nonevent,0.5859865237592902
Ib,0.6640443491738508
nonevent,0.3296765137186948
nonevent,0.3304769985276983
Ib,0.8839747745869229
nonevent,0.13696127542146375
II,0.9058357310445236
II,0.9566474141559168
II,0.9008829415580922
Ib,0.9811425327628474
nonevent,0.5444634540702061
nonevent,0.0028636936798300816
nonevent,0.016999456139242253
nonevent,0.18855052881828704
Ib,0.9908799974424121
II,0.9517149393424003
Ib,0.9886470329432809
nonevent,0.49687461414679335
nonevent,0.008057130233486753
nonevent,0.05379273600222678
nonevent,0.014748633486987517
Ib,0.993917631125528
nonevent,0.2769537814815983
nonevent,0.18032201901344136
nonevent,0.17825742035009395
Ib,0.9921801174648288
nonevent,0.17639181371357093
nonevent,0.013462668118225274
II,0.9490169090561555
nonevent,0.006770103949493178
nonevent,0.05890900332274862
nonevent,0.10926981404577929
nonevent,0.07182720005920806
nonevent,0.05771126929144044
II,0.9321567008804964
II,0.7871331660974891
nonevent,0.5758608620246162
Ib,0.9167218549241413
nonevent,0.008450650088768219
II,0.7357907665876766
II,0.6636348972441057
II,0.9979343127681188
Ib,0.967439700259604
Ib,0.9987562030402135
II,0.998502200537214
nonevent,0.008638377216789617
nonevent,0.5775237166096265
nonevent,0.3389024559596767
nonevent,0.09756644169834239
II,0.8806565305934503
Ib,0.9851469575265858
II,0.8364432096367849
nonevent,0.053335329208068605
nonevent,0.4596701616349038
nonevent,0.16711593080736076
II,0.7836186281087374
II,0.6492118620847249
nonevent,0.15582669994769316
nonevent,0.32304477126352316
nonevent,0.5593182744498937
nonevent,0.0122873776824719
II,0.9895389208594483
II,0.8745899793102521
nonevent,0.08723900144573005
nonevent,0.03146357486081475
Ib,0.986104213884343
nonevent,0.019022863881164476
nonevent,0.0551694514028066
nonevent,0.3469019803050831
nonevent,0.5779834611610728
nonevent,0.14517119848326387
Ia,0.9763601940370594
nonevent,0.016259311825888023
nonevent,0.0011647495217053105
nonevent,0.3874724077528773
II,0.9618266725455586
nonevent,0.44013913562107
Ib,0.9915502567719227
Ia,0.9888932121234212
nonevent,0.309872705545995
nonevent,0.39450438075434935
nonevent,0.045808643226276646
II,0.8823440939772803
Ia,0.7184378571268262
Ib,0.9936857895933341
nonevent,0.00019403236675974433
II,0.9660498757492422
nonevent,0.6153774242848586
II,0.9929907662967907
nonevent,0.4870895802539439
II,0.9031799325945811
nonevent,0.11174947310109906
nonevent,0.3886441543247957
nonevent,0.03693718282410907
II,0.9644034302245293
II,0.8514545924876727
nonevent,0.16329836802071307
nonevent,0.3628019257253008
II,0.7843483131264589
nonevent,0.09045893110944969
nonevent,0.35477329899895316
II,0.6389670129708481
Ib,0.9946850847083225
Ib,0.6724788024822648
nonevent,0.09958346588177147
nonevent,0.5093024881010266
nonevent,0.07873034284253166
nonevent,0.0787594627334246
nonevent,0.03116449058615056
II,0.6542029458117408
II,0.8611359116079272
nonevent,0.07919559297765366
nonevent,0.00276535155780655
nonevent,0.150534032827496
nonevent,0.1464923943029649
nonevent,0.040531941037948216
II,0.9517005842783556
nonevent,0.39588267290115065
nonevent,0.14007062031370499
nonevent,0.12837563117719197
II,0.9906213396364086
nonevent,0.1814771525883082
nonevent,0.39097440038257125
nonevent,0.09212496610405108
nonevent,0.12023294778324489
nonevent,0.4687576121077095
Ib,0.7280827130913294
nonevent,0.709065428065424
Ia,0.9088875940548913
II,0.9939058849144236
nonevent,0.21630447919524542
Ib,0.9486433361873352
nonevent,0.09820156376677647
nonevent,0.19070629259899297
II,0.7146775760211588
nonevent,0.045679584810326856
nonevent,0.48470953947671747
nonevent,0.021377157588248097
nonevent,0.08158877984653312
Ib,0.7604387518306785
nonevent,0.057923292559090345
Ib,0.960449900566459
II,0.9808236642363484
nonevent,0.568541008932248
Ia,0.9766902297867674
nonevent,0.15868599815917805
nonevent,0.1565077027539521
nonevent,0.04349574893451846
nonevent,0.21910167665097435
nonevent,0.39886438228013754
nonevent,0.058806913245517456
nonevent,0.2716603004686572
nonevent,0.17192605893539947
nonevent,0.06632262607820316
II,0.7887643208987926
nonevent,0.0017688275004771326
nonevent,0.027669349549893307
Ib,0.8724009622393113
nonevent,0.2027065022026313
nonevent,0.27119281342083057
nonevent,0.06738201609833361
Ib,0.746914331008973
II,0.9852647433393508
nonevent,0.08203371109510826
II,0.9143551875857293
nonevent,0.3352087896815087
II,0.7344857091969035
nonevent,0.025747064491341787
nonevent,0.0015635332151098247
nonevent,0.21003176753577235
nonevent,0.32907021013274973
II,0.8938933658706839
II,0.6685567149204645
II,0.89564230344472
nonevent,0.16445842327965543
II,0.7147835816793384
nonevent,0.07066176587791351
Ib,0.992410450971912
nonevent,0.1364513913592118
II,0.9918530038442325
nonevent,0.2362306595447924
II,0.9931085473526525
nonevent,0.09063187575020049
nonevent,0.12153860956537355
nonevent,0.09387524077477283
nonevent,0.5051278207288046
Ib,0.7472357110279104
nonevent,0.4779104321931048
Ib,0.8403491912753067
nonevent,0.1588705503288852
Ib,0.9953272493125145
nonevent,0.16464400587239736
nonevent,0.055501967218013815
Ib,0.9823620645777643
nonevent,0.0577103927221545
II,0.8589743098090953
II,0.9864018984322053
II,0.9877995219480665
II,0.9743558830492962
nonevent,0.029264862697041094
nonevent,0.445882464270966
nonevent,0.4456836636031585
nonevent,0.05266430042881065
nonevent,0.012440936789673396
nonevent,0.23678461210733814
nonevent,0.09335030929852117
nonevent,0.2711699432096032
II,0.8449776638280753
Ia,0.9892048390711301
nonevent,0.1535499359493282
II,0.9934205631000341
nonevent,0.0043430029049177366
II,0.9754175208388686
nonevent,0.6629111876594362
nonevent,0.0012736688131396168
nonevent,0.48439027036932436
nonevent,0.19770113592382244
nonevent,0.22108984703393975
nonevent,0.019202647953131646
nonevent,0.017771902183066568
nonevent,0.006242454414887022
nonevent,0.25829634239275445
nonevent,0.16251781742241855
Ib,0.9912716321099478
nonevent,0.010144362347260572
II,0.9823854652428572
nonevent,0.1729739619193832
nonevent,0.1192223708817417
II,0.9711354984646788
Ia,0.942432436678752
nonevent,0.047771265408510066
nonevent,0.4120833973536936
nonevent,0.0025041669867443828
II,0.6671806289772086
nonevent,0.3510823463142717
nonevent,0.16434765807560714
Ib,0.9430676439396795
nonevent,0.00905876545854667
II,0.8263561103114785
nonevent,0.07056246512492848
nonevent,0.22912535408767853
nonevent,0.634546825072956
II,0.7495651064762909
nonevent,0.265873203316111
II,0.9971911401888787
nonevent,0.18046266352109286
nonevent,0.08256282911176249
nonevent,0.10435923417495763
II,0.9992127372709837
Ia,0.9989045529528632
Ib,0.95601452631673
nonevent,0.07496511250521753
nonevent,0.01038338072496936
nonevent,0.02708907435578023
II,0.8696813446507263
II,0.9903090495400584
II,0.7565139641137673
nonevent,0.06693268535278141
nonevent,0.17029787410182673
Ib,0.9812160726111415
nonevent,0.0040704420479957815
nonevent,0.426002783528181
nonevent,0.22101285634051404
nonevent,0.3408948177761557
nonevent,0.10805413304579681
II,0.9859456027750714
nonevent,0.4949494831972714
Ib,0.9713115984386921
II,0.7905608286535277
nonevent,0.0031219234402314333
nonevent,0.021851315028441398
II,0.9833005738894535
II,0.8620371647412844
II,0.8898332067604319
nonevent,0.2129663974499365
nonevent,0.19840382632867637
II,0.9750384361005996
II,0.7404238662336737
II,0.909282958380351
nonevent,0.2571320519426674
II,0.7620499864793904
Ib,0.9949086184859471
nonevent,0.3820688000227568
Ib,0.9955333088032422
nonevent,0.4752000731924354
nonevent,0.0022533391721049068
II,0.7887444837735462
II,0.951923720922219
nonevent,0.17874457502009733
nonevent,0.14807443379636231
II,0.9897163954569849
II,0.9883174936552392
nonevent,0.16682112447806452
II,0.9677247961673725
II,0.8551610335290734
II,0.950935204893127
Ib,0.9768617859613381
nonevent,0.00789020292314968
nonevent,0.27713217758070086
II,0.6306274120384889
nonevent,0.30038658759625414
II,0.9827804779507233
nonevent,0.19575125430755635
nonevent,0.34736720547844824
nonevent,0.1045236960331144
II,0.6976004650802778
II,0.8780032921629323
nonevent,0.012610866916941577
nonevent,0.12244905370354287
nonevent,0.10146624194366127
II,0.7918042137374911
nonevent,0.44549196274519176
nonevent,0.21453980853596732
nonevent,0.5263911687084455
II,0.9575652098159799
II,0.9937002837867812
II,0.9033835500017086
nonevent,0.034620601272722484
nonevent,0.35467826895456034
nonevent,0.014402666295021738
II,0.950310973210579
II,0.9955316361670338
Ib,0.6875000637907331
nonevent,0.06498048325626071
nonevent,0.28695739724466973
II,0.8077235538364027
Ia,0.9953052862127763
II,0.9800033094771526
Ib,0.9982185513524532
nonevent,0.2969777082114522
nonevent,0.01131416821040987
Ib,0.9551905343947636
II,0.9885776600546774
nonevent,0.11838696887018973
II,0.7379403004367886
II,0.7866275922261075
II,0.9324719735546952
II,0.7653966481677175
II,0.9648363836941435
nonevent,0.5070886217359699
II,0.98025319029438
II,0.9953671120126235
nonevent,0.014384075260837625
nonevent,0.1377939208986737
Ib,0.9971036743951528
Ib,0.8077682890265019
nonevent,0.03436666815112588
Ib,0.9899860527847464
II,0.794463118131127
nonevent,0.037336213622955916
II,0.7304874290432573
Ib,0.9891652633151455
nonevent,0.15402136649140308
nonevent,0.38089835081022716
II,0.6605569011930966
nonevent,0.14681786054966905
II,0.9984256979661545
II,0.9862238494878856
II,0.924319441175826
nonevent,0.226698266543089
nonevent,0.004737065156477871
II,0.7228570808543721
nonevent,0.08296114884145422
nonevent,0.5377829590139059
nonevent,0.0565716085758764
II,0.9780302411297731
nonevent,0.3996969113529839
nonevent,0.11590272412884361
nonevent,0.3663465425849658
nonevent,0.03084637836838644
nonevent,0.008657938267005783
nonevent,0.03299702042617714
II,0.9910211692673361
nonevent,0.07147783153991272
II,0.7232724918083347
II,0.7546975596273984
II,0.9422938209354311
II,0.9943515981021772
nonevent,0.14662698214344494
nonevent,0.09956336105707186
II,0.8328797419289337
nonevent,0.027873120840586685
II,0.776515623345807
nonevent,0.1641956890134525
nonevent,0.11718208458993684
nonevent,0.13124136659154795
nonevent,0.08805022918450245
nonevent,0.35437985599797694
nonevent,0.11324421933885409
nonevent,0.04811038584502103
II,0.9762822567635905
II,0.704437269510389
nonevent,0.13677701374405782
nonevent,0.5094367525642924
nonevent,0.5356799193330306
nonevent,0.1582629782325502
nonevent,0.15025442506137887
Ia,0.987382126658829
Ia,0.5971883488467602
nonevent,0.3016585567306239
II,0.8542885698390417
Ib,0.9709721894668765
nonevent,0.475768442816909
nonevent,0.1351391264286267
nonevent,0.018291187550369625
nonevent,0.41881822790172973
nonevent,0.01713341929183121
II,0.9725429704515948
nonevent,0.0035942269661292103
II,0.9755597265831243
II,0.8467787698341738
nonevent,0.5947436831781054
Ia,0.8772490506524265
nonevent,0.42716755159286834
nonevent,0.01619012159451516
nonevent,0.0028762843902950808
nonevent,0.012363770335087176
II,0.9720542249992795
nonevent,0.10015323324529324
II,0.9842175674772626
II,0.8893792387743763
nonevent,0.0007019489751943775
nonevent,0.04768135387713568
Ib,0.9770617112269256
nonevent,0.004726010764883992
nonevent,0.009817184529956613
nonevent,0.05014423286796166
II,0.7883775025949805
II,0.7843600835041011
II,0.9706553854942769
Ib,0.9925632391215576
II,0.7226108189513734
II,0.876532418502854
nonevent,0.029998633967842747
nonevent,0.14601727340574044
nonevent,0.017736136502151223
nonevent,0.5473311400912627
II,0.836742710755179
II,0.9856664719498902
Ib,0.99736429277767
nonevent,0.5226010380073213
nonevent,0.007488121896942146
Ia,0.9243824086891592
II,0.8634701193333956
II,0.7174598203326956
nonevent,0.01871784821935707
II,0.9862858993878402
nonevent,0.11770867086148973
II,0.938223141698417
II,0.9354328872349513
nonevent,0.11508119827357477
nonevent,0.06279526259905555
nonevent,0.12288908066089754
II,0.9441442326747832
nonevent,0.04119425246282016
nonevent,0.02468404120112455
nonevent,0.06445378599193952
II,0.9939067228081925
nonevent,0.019428241604729224
nonevent,0.5312529074906529
II,0.994019292426763
nonevent,0.15327628627936973
nonevent,0.5577379793967376
nonevent,0.0946643380612735
nonevent,0.03331555276446174
Ib,0.9705589337531333
nonevent,0.0551915644986245
II,0.6883484653860216
II,0.9960310515013782
nonevent,0.014041867606785496
II,0.8362446656338224
nonevent,0.2990679483855261
nonevent,0.5327463745111072
Ib,0.9961752025220808
II,0.9664187916520456
nonevent,0.5082414896329952
nonevent,0.3559595836436861
nonevent,0.10224594708922907
II,0.8198688843778368
nonevent,0.13227901241724138
nonevent,0.1412671044651056
nonevent,0.022393731649376192
nonevent,0.03450918894126409
nonevent,0.05580102290717792
nonevent,0.02645767189614978
II,0.9741747014003896
II,0.9695237437752346
II,0.8040286632256771
Ib,0.9902797859229544
nonevent,0.5110500518222993
nonevent,0.43967324898738147
II,0.7351208656601189
nonevent,0.2307397549233079
Ia,0.966136227707725
Ib,0.9935878425258233
II,0.8722652209697451
nonevent,0.06487126398528087
nonevent,0.1108747795413072
nonevent,0.6146596238930766
nonevent,0.09920349777588522
Ib,0.9905560898005986
Ib,0.9955142272887246
nonevent,0.6302769889229514
II,0.6968399653277431
Ia,0.6858297197375776
nonevent,0.12473251374618133
nonevent,0.22942729900668246
nonevent,0.022379029753806123
II,0.8814110290632372
nonevent,0.05824971767627163
II,0.9872815835635117
nonevent,0.5421264603757558
II,0.9695294243779559
nonevent,0.44688025500269424
nonevent,0.20258756876963624
nonevent,0.16014120850547098
nonevent,0.12719852211286276
nonevent,0.23363929661989424
II,0.7493424771902473
nonevent,0.09824202054615105
nonevent,0.47572170949353965
nonevent,0.3505960650323372
II,0.8646438209545624
nonevent,0.04556625368240075
nonevent,0.22163035113221907
nonevent,0.06349501904329868
nonevent,0.1635970959503662
nonevent,0.01914424422142713
nonevent,0.2410744562299333
II,0.9832794851050789
nonevent,0.04683559527781711
II,0.7540627888778353
nonevent,0.08283813581435684
II,0.9859950603740084
II,0.5947409570774902
II,0.9224506705285113
nonevent,0.008605639259327003
II,0.8667696163788612
nonevent,0.24307975557689032
Ia,0.9104420752665969
nonevent,0.088373137433848
nonevent,0.171302673914688
Ib,0.992489436459115
nonevent,0.41742594588615156
II,0.9978555682197221
II,0.9616899757198873
nonevent,0.14435793705612732
nonevent,0.10678939124233999
Ib,0.9981426065543607
nonevent,0.061754892749622536
nonevent,0.09735120445244472
nonevent,0.14518325242550956
nonevent,0.07109962951662563
nonevent,0.17417706672136613
II,0.7619895727037819
II,0.9613224979283441
nonevent,0.01318903159971474
nonevent,0.11919204147187434
II,0.9548533184976612
nonevent,0.18196802306330517
II,0.9591528744667492
Ib,0.7128481689921178
nonevent,0.09474239845071974
II,0.9036083872694192
II,0.8340116034952894
nonevent,0.2244535120614335
nonevent,0.5372508827058633
II,0.8665770633389198
II,0.9964729783962546
II,0.9901244749995182
nonevent,0.029694929932250758
nonevent,0.6441796477570508
nonevent,0.0688851153221216
nonevent,0.2505387643079996
II,0.9943957199420059
nonevent,0.051623924592875015
nonevent,0.015311476442316452
nonevent,0.21192065552319805
II,0.994406189676165
nonevent,0.022532419436478768
nonevent,0.3228223398382163
II,0.8266079400079361
nonevent,0.48673336705388115
nonevent,0.6457582401053978
II,0.9771262392899751
nonevent,0.020372500407036975
Ib,0.9970733649770009
II,0.9417392904708927
II,0.9852184611462073
nonevent,0.02879134233782088
II,0.8617213958360005
nonevent,0.15734665935519498
nonevent,0.226509426593704
Ib,0.9460012085546036
nonevent,0.45403436889454984
nonevent,0.05244363636139837
Ib,0.9829268854102347
Ib,0.9983895411477353
nonevent,0.019355307354318674
